Horodateur,"1. How do you perceive your academic performance compared to your peers? (1 = Much lower, 5 = Much higher) | كيف ترى أدائك الأكاديمي مقارنة بزملائك؟ (1 = أقل بكثير، 5 = أعلى بكثير)",2. Do you tend to hide your stress from friends and family? | هل تميل إلى إخفاء توترك عن أصدقائك وعائلتك؟,3. At what time of day do you feel most productive? | في أي وقت من اليوم تشعر بأكبر قدر من الإنتاجية؟,4. How long can you maintain deep focus while studying? | كم من الوقت يمكنك الحفاظ على تركيز عميق أثناء الدراسة؟,5. What do you consider your strongest academic skill? | ما هي أقوى مهارة أكاديمية لديك؟,6. How many hours per day do you spend studying on average? | كم ساعة في اليوم تقضي في الدراسة في المتوسط؟,7. What time of day do you usually study? | في أي وقت من اليوم تدرس عادةً؟,8. Where do you study most often? | أين تدرس في الغالب؟,9. How would you rate your social life in your study environment? | كيف تقيّم حياتك الاجتماعية في بيئتك الدراسية؟,10. How many hours do you sleep on a typical study night? | كم ساعة تنام في ليلة دراسية عادية؟,"11. How satisfied are you with your current field of study or specialization? (1 = not at all, 5 = very) | ما مدى رضاك عن مجال دراستك أو تخصصك الحالي؟ (1 = غير راضٍ، 5 = راضٍ جداً)",12. Why did you choose your current field of study or specialization? | لماذا اخترت مجال دراستك أو تخصصك الحالي؟,"13. When you do not understand a lesson, what do you generally do? | عندما لا تفهم درساً، ماذا تفعل عادةً؟",14. Do you pretend to be doing well in front of your teachers even when you are suffering? | هل تتظاهر بأنك بخير أمام أساتذتك أو معلميك حتى عندما تعاني؟,15. Do you feel that your good grades do not reflect your real exhaustion? | هل تشعر أن درجاتك الجيدة لا تعكس إرهاقك الحقيقي؟,16. Do you avoid asking for help for fear of appearing weak? | هل تتجنب طلب المساعدة خوفاً من الظهور بضعف؟,17. How often do you act differently from what you really feel in your study environment? | كم مرة تتصرف بشكل مختلف عما تشعر به حقاً في بيئتك الدراسية؟,18. Do you smile or laugh to hide your stress? | هل تبتسم أو تضحك لإخفاء توترك؟,19. Do you feel like you are playing a role at school rather than being yourself? | هل تشعر أنك تؤدي دوراً في مدرستك أو جامعتك بدلاً من أن تكون نفسك؟,"20. When you are overwhelmed with studies, who really knows? | عندما تكون محتشداً بالدراسة، من يعرف حقاً؟",21. Have you ever felt that no one would really understand what you are going through? | هل سبق أن شعرت أن لا أحد سيفهم حقاً ما تمر به؟,22. How often do you feel that your real level is different from the image you project? | كم مرة تشعر أن مستواك الحقيقي مختلف عن الصورة التي تُظهرها؟,23. Do you think other students have fewer difficulties than you? | هل تعتقد أن الطلاب الآخرين لديهم صعوبات أقل منك؟,"24. After an exhausting day, how do you behave the next day in class? | بعد يوم مرهق، كيف تتصرف في اليوم التالي في الصف أو المحاضرة؟","25. When you make a study plan, how often do you follow it? | عندما تضع خطة دراسية، كم مرة تلتزم بها؟",26. How many hours per day do you spend on social media or series instead of studying? | كم ساعة في اليوم تقضي على وسائل التواصل الاجتماعي أو المسلسلات بدلاً من الدراسة؟,27. Do you delay tasks even knowing it will harm you? | هل تؤجل المهام حتى وإن كنت تعلم أن ذلك سيضرك؟,28. How do you describe your relationship with deadlines? | كيف تصف علاقتك بالمواعيد النهائية؟,"29. How often do you use ""I will do it tomorrow"" as a strategy? | كم مرة تستخدم عبارة ""سأفعلها غداً"" كاستراتيجية؟",30. Does fear of doing badly push you not to start? | هل يدفعك الخوف من الأداء السيئ إلى عدم البدء؟,31. How far in advance do you revise before an important exam? | كم من الوقت مسبقاً تراجع قبل امتحان مهم؟,32. Do you work better under pressure or with time ahead? | هل تعمل بشكل أفضل تحت الضغط أم عندما يكون لديك وقت؟,33. How many times have you lost marks because of a late submission? | كم مرة خسرت درجات بسبب تسليم متأخر؟,34. How do you feel about upcoming exams? | كيف تشعر حيال الامتحانات القادمة؟,35. Do your natural strengths match what your field of study requires? | هل تتوافق قدراتك الطبيعية مع ما يتطلبه مجال دراستك؟,36. Have you ever seriously considered changing your field of study or school? | هل فكرت بجدية في تغيير مجال دراستك أو مدرستك/جامعتك؟,37. Which of these best describes your learning style? | أي من هذه الأوصاف يعبّر عن أسلوبك في التعلم؟,38. Do you have a clear career goal after graduation? | هل لديك هدف مهني واضح بعد التخرج؟,"39. If you could go back, would you choose the same field of study again? | لو عدت بالزمن، هل تختار نفس مجال الدراسة مرة أخرى؟","40. If you could give one tip to a new student, what would it be? | إذا كان بإمكانك تقديم نصيحة واحدة لطالب جديد، ماذا ستقول؟",data_source,cluster_kmeans,cluster_dbscan,pca1,pca2
15/05/2026 15:35:16,4,Rarely / نادراً,Late morning / متأخر الصباح,30–60 minutes / 30-60 دقيقة,Communication / التواصل,2–4h,Morning / الصباح,My room / غرفتي,Active / نشطة,5–6h,3,Passion / شغف,I ask a classmate / أسأل زميلاً,Rarely / نادراً,A little / قليلاً,Sometimes / أحياناً,Sometimes / أحياناً,Sometimes / أحياناً,Sometimes yes / أحياناً نعم,Family and close friends / العائلة والأصدقاء المقربين,Sometimes / أحياناً,Sometimes / أحياناً,Probably yes / على الأرجح نعم,I stay silent / أبقى صامتاً/صامتة,Always / دائماً,Less than 1h / أقل من ساعة,Rarely / نادراً,Pressure motivates me / الضغط يحفزني,Rarely / نادراً,Rarely / نادراً,1–2 weeks / 1-2 أسابيع,Better under pressure / أفضل تحت الضغط,Once / مرة واحدة,Very anxious / قلق جداً,Somewhat / نوعاً ما,Yes / نعم,Hands-on / عملي تطبيقي,Not yet / ليس بعد,Not sure / غير متأكد,لا تتعلق بالماضي امض بكل قوة نحو هدف جديد,real,2,0,-1.2923816201911384,-1.096087970222642
15/05/2026 15:35:17,3,Sometimes / أحياناً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Problem solving / حل المشكلات,More than 4h / أكثر من 4 ساعات,Morning / الصباح,School / المدرسة أو الجامعة,Active / نشطة,7–8h,3,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Sometimes / أحياناً,A little / قليلاً,Rarely / نادراً,Sometimes / أحياناً,Sometimes / أحياناً,Sometimes yes / أحياناً نعم,Only one friend / صديق/ة واحد/ة فقط,Sometimes / أحياناً,Often / غالباً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Rarely / نادراً,1–2h,Rarely / نادراً,Pressure motivates me / الضغط يحفزني,Sometimes / أحياناً,Rarely / نادراً,1–2 weeks / 1-2 أسابيع,Much better with time / أفضل بكثير عندما يكون لدي وقت,2–3 times / 2-3 مرات,Calm and prepared / هادئ ومستعد,Somewhat / نوعاً ما,I thought about it / فكرت في ذلك,Hands-on / عملي تطبيقي,Somewhat / نوعاً ما,Not sure / غير متأكد,Ealak mn maghrib k ida makdartichy madkholchy k fst,real,0,0,-0.3011127118931383,0.2779999183745936
15/05/2026 15:36:26,3,Often / غالباً,Late morning / متأخر الصباح,1–2 hours / 1-2 ساعة,Problem solving / حل المشكلات,2–4h,Afternoon / بعد الظهر,My room / غرفتي,Active / نشطة,7–8h,5,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Sometimes / أحياناً,A little / قليلاً,Rarely / نادراً,Sometimes / أحياناً,Rarely / نادراً,Sometimes yes / أحياناً نعم,"No one, I manage alone / لا أحد، أتدبر أمري وحدي",Sometimes / أحياناً,Sometimes / أحياناً,"No, everyone has challenges / لا، للجميع تحدياته","I am even more ""performant"" to compensate / أكون أكثر ""أداءً"" للتعويض",Often / غالباً,2–4h,Rarely / نادراً,Pressure motivates me / الضغط يحفزني,Rarely / نادراً,Rarely / نادراً,1–2 weeks / 1-2 أسابيع,Better under pressure / أفضل تحت الضغط,Never / أبداً,Calm and prepared / هادئ ومستعد,"Yes, very much / نعم، كثيراً",I thought about it / فكرت في ذلك,Reading/Writing / القراءة والكتابة,"Yes, very clear / نعم، واضح جداً",Not sure / غير متأكد,Just do it,real,0,0,-2.2760100901518694,0.9534457599095125
15/05/2026 15:38:34,3,Often / غالباً,Late night / الليل المتأخر,30–60 minutes / 30-60 دقيقة,Critical thinking / التفكير النقدي,Less than 1h / أقل من ساعة,Late night / منتصف الليل,My room / غرفتي,Limited / محدودة,7–8h,5,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Always / دائماً,Quite often / غالباً,"No, never / لا، أبداً",Always / دائماً,It is my usual behavior / إنه سلوكي المعتاد,A little / قليلاً,"No one, I manage alone / لا أحد، أتدبر أمري وحدي","Yes, always / نعم، دائماً",Always / دائماً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Rarely / نادراً,2–4h,Often / غالباً,Pressure motivates me / الضغط يحفزني,Often / غالباً,Sometimes / أحياناً,More than 2 weeks / أكثر من أسبوعين,A bit better with time / أفضل قليلاً عندما يكون لدي وقت,Never / أبداً,Calm and prepared / هادئ ومستعد,"Yes, very much / نعم، كثيراً",Yes / نعم,Hands-on / عملي تطبيقي,Somewhat / نوعاً ما,"Yes, definitely / نعم، بالتأكيد",Leave Morocco,real,0,0,0.8596204698048402,2.8085641344997834
15/05/2026 15:42:12,3,Always / دائماً,Afternoon / بعد الظهر,Less than 30 min / أقل من 30 دقيقة,Memory / الحفظ,2–4h,Afternoon / بعد الظهر,Café / المقهى,Very active / نشطة جداً,7–8h,3,No clear reason / لا سبب واضح,I search alone online / أبحث وحدي على الإنترنت,Always / دائماً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً",Often / غالباً,Sometimes / أحياناً,It is my usual behavior / إنه سلوكي المعتاد,"No, I am always myself / لا، أنا نفسي دائماً",Only one friend / صديق/ة واحد/ة فقط,"Yes, always / نعم، دائماً",Often / غالباً,"No, everyone has challenges / لا، للجميع تحدياته",I stay silent / أبقى صامتاً/صامتة,Sometimes / أحياناً,1–2h,Often / غالباً,Pressure motivates me / الضغط يحفزني,Sometimes / أحياناً,"No, never / لا، أبداً",More than 2 weeks / أكثر من أسبوعين,Much better with time / أفضل بكثير عندما يكون لدي وقت,Never / أبداً,A little anxious / قليلاً قلق,Not really / ليس تماماً,Yes / نعم,Reading/Writing / القراءة والكتابة,Somewhat / نوعاً ما,"No, never / لا، أبداً",Always develops your personal competence ,real,3,0,1.2373198352859698,-1.1318132626464061
15/05/2026 15:42:52,2,Always / دائماً,Late morning / متأخر الصباح,30–60 minutes / 30-60 دقيقة,Memory / الحفظ,1–2h,Morning / الصباح,My room / غرفتي,Limited / محدودة,5–6h,2,Job market / سوق العمل,I ask a classmate / أسأل زميلاً,Often / غالباً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً","No, never / لا، أبداً",Never / أبداً,It is my usual behavior / إنه سلوكي المعتاد,"No, I am always myself / لا، أنا نفسي دائماً",Family and close friends / العائلة والأصدقاء المقربين,"No, never / لا، أبداً",Often / غالباً,Probably yes / على الأرجح نعم,I explain if asked / أشرح إذا سُئلت,Rarely / نادراً,4–6h,Often / غالباً,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة,Often / غالباً,Sometimes / أحياناً,1–2 days / 1-2 يوم,Better under pressure / أفضل تحت الضغط,Never / أبداً,Very anxious / قلق جداً,Not really / ليس تماماً,Yes / نعم,Visual / بصري,Not yet / ليس بعد,"No, never / لا، أبداً",follow your passion and not schools reputation,real,1,0,2.0644923129494095,-3.155266849094543
15/05/2026 15:43:36,2,Often / غالباً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Critical thinking / التفكير النقدي,More than 4h / أكثر من 4 ساعات,Morning / الصباح,My room / غرفتي,Almost none / شبه معدومة,7–8h,4,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Sometimes / أحياناً,"Yes, exactly / نعم، تماماً",Sometimes / أحياناً,Sometimes / أحياناً,Sometimes / أحياناً,Often / غالباً,Family and close friends / العائلة والأصدقاء المقربين,Sometimes / أحياناً,Often / غالباً,"No, everyone has challenges / لا، للجميع تحدياته",I explain if asked / أشرح إذا سُئلت,Rarely / نادراً,2–4h,Often / غالباً,I often ignore them / أتجاهلها غالباً,Sometimes / أحياناً,Often / غالباً,3–5 days / 3-5 أيام,Much better with time / أفضل بكثير عندما يكون لدي وقت,Never / أبداً,A little anxious / قليلاً قلق,Somewhat / نوعاً ما,No / لا,Reading/Writing / القراءة والكتابة,Somewhat / نوعاً ما,"Yes, definitely / نعم، بالتأكيد",رب الخير لا يأتى الا بالخير ،الحمد الله ,real,1,0,0.29318491792631435,1.4128784562169951
15/05/2026 15:44:44,3,Sometimes / أحياناً,Late night / الليل المتأخر,Less than 30 min / أقل من 30 دقيقة,Other / أخرى,2–4h,Late night / منتصف الليل,My room / غرفتي,Active / نشطة,5–6h,4,No clear reason / لا سبب واضح,I search alone online / أبحث وحدي على الإنترنت,Often / غالباً,A little / قليلاً,"No, never / لا، أبداً",Sometimes / أحياناً,Sometimes / أحياناً,Sometimes yes / أحياناً نعم,Family and close friends / العائلة والأصدقاء المقربين,Sometimes / أحياناً,Sometimes / أحياناً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Rarely / نادراً,4–6h,Sometimes / أحياناً,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة,Sometimes / أحياناً,Sometimes / أحياناً,1–2 weeks / 1-2 أسابيع,Better under pressure / أفضل تحت الضغط,Never / أبداً,A little anxious / قليلاً قلق,Somewhat / نوعاً ما,No / لا,Reading/Writing / القراءة والكتابة,Somewhat / نوعاً ما,Probably yes / ربما نعم,"الدراسة ليست كل شيء ........هنالك ما هو اهم 
",real,1,0,-0.4992732873109409,0.11499650545207908
15/05/2026 15:45:56,3,Often / غالباً,Afternoon / بعد الظهر,Less than 30 min / أقل من 30 دقيقة,Problem solving / حل المشكلات,2–4h,Afternoon / بعد الظهر,My room / غرفتي,Almost none / شبه معدومة,7–8h,3,No clear reason / لا سبب واضح,I search alone online / أبحث وحدي على الإنترنت,Often / غالباً,A little / قليلاً,"No, never / لا، أبداً",Often / غالباً,Sometimes / أحياناً,A little / قليلاً,"No one, I manage alone / لا أحد، أتدبر أمري وحدي",Sometimes / أحياناً,Often / غالباً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Sometimes / أحياناً,2–4h,Sometimes / أحياناً,Pressure motivates me / الضغط يحفزني,Sometimes / أحياناً,"No, never / لا، أبداً",1–2 weeks / 1-2 أسابيع,Better under pressure / أفضل تحت الضغط,Never / أبداً,A little anxious / قليلاً قلق,Somewhat / نوعاً ما,I thought about it / فكرت في ذلك,Hands-on / عملي تطبيقي,Somewhat / نوعاً ما,Probably yes / ربما نعم,Étudier le domaine qu’il aime et bien chercher ces perspectives ,real,0,0,-0.2729256374840431,0.5269864260009135
15/05/2026 15:45:57,5,Always / دائماً,Early morning / الصباح الباكر,1–2 hours / 1-2 ساعة,Creativity / الإبداع,1–2h,Morning / الصباح,My room / غرفتي,Limited / محدودة,7–8h,5,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Sometimes / أحياناً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً","No, never / لا، أبداً",Sometimes / أحياناً,Often / غالباً,A little / قليلاً,Family and close friends / العائلة والأصدقاء المقربين,Often / غالباً,Rarely / نادراً,"No, everyone has challenges / لا، للجميع تحدياته","I am even more ""performant"" to compensate / أكون أكثر ""أداءً"" للتعويض",Always / دائماً,1–2h,Never / أبداً,I plan well in advance / أخطط مسبقاً جيداً,Rarely / نادراً,"No, never / لا، أبداً",More than 2 weeks / أكثر من أسبوعين,A bit better with time / أفضل قليلاً عندما يكون لدي وقت,Never / أبداً,Calm and prepared / هادئ ومستعد,"Yes, very much / نعم، كثيراً",No / لا,Visual / بصري,"Yes, very clear / نعم، واضح جداً","Yes, definitely / نعم، بالتأكيد",ثق وآمن بموضوع بحثك جيد، ولا تخف، ولا تسمع كلام الناس. لا تستسلم أبد، إن بعد العسر يسر,real,0,0,-3.8155622996028478,3.1425778209035578
15/05/2026 15:52:27,4,Sometimes / أحياناً,Late morning / متأخر الصباح,1–2 hours / 1-2 ساعة,Problem solving / حل المشكلات,2–4h,Morning / الصباح,School / المدرسة أو الجامعة,Active / نشطة,7–8h,5,Passion / شغف,I ask the teacher / أسأل الأستاذ أو المعلم,Rarely / نادراً,"No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً","No, never / لا، أبداً",Never / أبداً,Never / أبداً,"No, I am always myself / لا، أنا نفسي دائماً","No one, I manage alone / لا أحد، أتدبر أمري وحدي","No, never / لا، أبداً",Never / أبداً,"No, everyone has challenges / لا، للجميع تحدياته","I am even more ""performant"" to compensate / أكون أكثر ""أداءً"" للتعويض",Always / دائماً,4–6h,Never / أبداً,I plan well in advance / أخطط مسبقاً جيداً,Rarely / نادراً,Rarely / نادراً,3–5 days / 3-5 أيام,Much better with time / أفضل بكثير عندما يكون لدي وقت,Never / أبداً,Calm and prepared / هادئ ومستعد,"Yes, very much / نعم، كثيراً",No / لا,Visual / بصري,"Yes, very clear / نعم، واضح جداً","Yes, definitely / نعم، بالتأكيد",every one have their path do your best and enjoy it ,real,2,0,-5.182784341521905,-0.527654632815007
15/05/2026 15:57:55,3,Often / غالباً,Evening / المساء,Less than 30 min / أقل من 30 دقيقة,Problem solving / حل المشكلات,1–2h,Evening / المساء,Library / المكتبة,Active / نشطة,5–6h,3,No clear reason / لا سبب واضح,I search alone online / أبحث وحدي على الإنترنت,Always / دائماً,"Yes, exactly / نعم، تماماً","No, never / لا، أبداً",Sometimes / أحياناً,It is my usual behavior / إنه سلوكي المعتاد,"No, I am always myself / لا، أنا نفسي دائماً",Family and close friends / العائلة والأصدقاء المقربين,Often / غالباً,Always / دائماً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Sometimes / أحياناً,2–4h,Sometimes / أحياناً,I plan well in advance / أخطط مسبقاً جيداً,Sometimes / أحياناً,Sometimes / أحياناً,More than 2 weeks / أكثر من أسبوعين,Much better with time / أفضل بكثير عندما يكون لدي وقت,Never / أبداً,Overwhelmed / مرهق,Somewhat / نوعاً ما,I thought about it / فكرت في ذلك,Reading/Writing / القراءة والكتابة,Somewhat / نوعاً ما,Not sure / غير متأكد,نضم و قتك,real,1,0,0.9617204708636211,-0.44046442695665805
15/05/2026 16:10:42,3,Sometimes / أحياناً,Afternoon / بعد الظهر,30–60 minutes / 30-60 دقيقة,Creativity / الإبداع,More than 4h / أكثر من 4 ساعات,Afternoon / بعد الظهر,Café / المقهى,Active / نشطة,7–8h,3,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Rarely / نادراً,"Yes, exactly / نعم، تماماً","No, never / لا، أبداً",Sometimes / أحياناً,Rarely / نادراً,"No, I am always myself / لا، أنا نفسي دائماً",Family and close friends / العائلة والأصدقاء المقربين,Sometimes / أحياناً,Often / غالباً,"No, everyone has challenges / لا، للجميع تحدياته",I explain if asked / أشرح إذا سُئلت,Sometimes / أحياناً,Less than 1h / أقل من ساعة,Sometimes / أحياناً,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة,Sometimes / أحياناً,Rarely / نادراً,3–5 days / 3-5 أيام,Better under pressure / أفضل تحت الضغط,Never / أبداً,Calm and prepared / هادئ ومستعد,Not really / ليس تماماً,Yes / نعم,Visual / بصري,"Yes, very clear / نعم، واضح جداً","Yes, definitely / نعم، بالتأكيد",Your choices and the way you use your time make the difference.,real,1,0,-1.0106936036014025,-1.1609544205060431
15/05/2026 16:13:39,1,Always / دائماً,Late night / الليل المتأخر,Less than 30 min / أقل من 30 دقيقة,Critical thinking / التفكير النقدي,Less than 1h / أقل من ساعة,Late night / منتصف الليل,School / المدرسة أو الجامعة,Limited / محدودة,Less than 5h / أقل من 5 ساعات,5,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Often / غالباً,A little / قليلاً,Sometimes / أحياناً,Sometimes / أحياناً,Often / غالباً,A little / قليلاً,Family and close friends / العائلة والأصدقاء المقربين,Often / غالباً,Often / غالباً,Maybe a little / ربما قليلاً,I stay silent / أبقى صامتاً/صامتة,Never / أبداً,More than 6h / أكثر من 6 ساعات,Always / دائماً,I often ignore them / أتجاهلها غالباً,Often / غالباً,"Yes, always / نعم، دائماً",1–2 days / 1-2 يوم,Only under extreme pressure / فقط تحت ضغط شديد,Never / أبداً,Overwhelmed / مرهق,Somewhat / نوعاً ما,No / لا,Hands-on / عملي تطبيقي,Somewhat / نوعاً ما,"Yes, definitely / نعم، بالتأكيد",لا تتعلق بالماضي امض بكل قوة نحو هدف جديد,real,3,0,2.3897478923585678,1.8503940471379698
15/05/2026 16:20:00,4,Sometimes / أحياناً,Late night / الليل المتأخر,1–2 hours / 1-2 ساعة,Creativity / الإبداع,Less than 1h / أقل من ساعة,Evening / المساء,School / المدرسة أو الجامعة,Active / نشطة,7–8h,4,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Sometimes / أحياناً,Quite often / غالباً,Rarely / نادراً,Often / غالباً,Often / غالباً,Often / غالباً,"No one, I manage alone / لا أحد، أتدبر أمري وحدي",Often / غالباً,Always / دائماً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Sometimes / أحياناً,2–4h,Often / غالباً,Pressure motivates me / الضغط يحفزني,Often / غالباً,Sometimes / أحياناً,3–5 days / 3-5 أيام,Much better with time / أفضل بكثير عندما يكون لدي وقت,2–3 times / 2-3 مرات,A little anxious / قليلاً قلق,"Yes, very much / نعم، كثيراً",No / لا,Visual / بصري,Somewhat / نوعاً ما,"Yes, definitely / نعم، بالتأكيد",Chose carefully your career then don’t give up ,real,0,0,-0.07625277362616335,2.181453895289508
15/05/2026 16:22:26,3,Often / غالباً,Early morning / الصباح الباكر,More than 2 hours / أكثر من ساعتين,Critical thinking / التفكير النقدي,2–4h,Morning / الصباح,My room / غرفتي,Almost none / شبه معدومة,7–8h,5,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Always / دائماً,A little / قليلاً,Often / غالباً,Sometimes / أحياناً,Sometimes / أحياناً,"No, I am always myself / لا، أنا نفسي دائماً",Family and close friends / العائلة والأصدقاء المقربين,"Yes, always / نعم، دائماً",Sometimes / أحياناً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Sometimes / أحياناً,2–4h,Often / غالباً,Pressure motivates me / الضغط يحفزني,It is my default mode / إنه نمطي الافتراضي,Often / غالباً,More than 2 weeks / أكثر من أسبوعين,Better under pressure / أفضل تحت الضغط,More than 3 times / أكثر من 3 مرات,A little anxious / قليلاً قلق,"Yes, very much / نعم، كثيراً",No / لا,Reading/Writing / القراءة والكتابة,"Yes, very clear / نعم، واضح جداً","No, never / لا، أبداً",Do what you like,real,2,0,-0.4166926525331403,1.5149640641778346
15/05/2026 16:24:14,3,Always / دائماً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Creativity / الإبداع,Less than 1h / أقل من ساعة,Morning / الصباح,My room / غرفتي,Active / نشطة,7–8h,5,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Always / دائماً,A little / قليلاً,Often / غالباً,Often / غالباً,It is my usual behavior / إنه سلوكي المعتاد,Often / غالباً,Only one friend / صديق/ة واحد/ة فقط,"Yes, always / نعم، دائماً",Often / غالباً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Rarely / نادراً,4–6h,Always / دائماً,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة,It is my default mode / إنه نمطي الافتراضي,"Yes, always / نعم، دائماً",More than 2 weeks / أكثر من أسبوعين,Same / نفس الشيء,Never / أبداً,Very anxious / قلق جداً,Somewhat / نوعاً ما,No / لا,Reading/Writing / القراءة والكتابة,Somewhat / نوعاً ما,Probably yes / ربما نعم,انصح نفسك بنفسك فكل شخص لديه حياته و يعرف ما عليه فعله,real,3,0,2.432118891667017,1.4804195652752572
15/05/2026 16:28:35,4,Rarely / نادراً,Early morning / الصباح الباكر,1–2 hours / 1-2 ساعة,Problem solving / حل المشكلات,1–2h,Evening / المساء,My room / غرفتي,Active / نشطة,5–6h,5,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Often / غالباً,A little / قليلاً,"No, never / لا، أبداً",Often / غالباً,Sometimes / أحياناً,A little / قليلاً,Family and close friends / العائلة والأصدقاء المقربين,Sometimes / أحياناً,Sometimes / أحياناً,"No, everyone has challenges / لا، للجميع تحدياته",I act like everything is fine / أتصرف وكأن كل شيء على ما يرام,Rarely / نادراً,4–6h,Sometimes / أحياناً,Pressure motivates me / الضغط يحفزني,Sometimes / أحياناً,Sometimes / أحياناً,1–2 weeks / 1-2 أسابيع,Better under pressure / أفضل تحت الضغط,Never / أبداً,Calm and prepared / هادئ ومستعد,"Yes, very much / نعم، كثيراً",No / لا,Visual / بصري,Somewhat / نوعاً ما,"Yes, definitely / نعم، بالتأكيد",Always develops your personal competence ,real,0,0,-1.605697745996763,1.2776264067760077
15/05/2026 16:28:49,2,Always / دائماً,Late morning / متأخر الصباح,1–2 hours / 1-2 ساعة,Creativity / الإبداع,Less than 1h / أقل من ساعة,Afternoon / بعد الظهر,Library / المكتبة,Almost none / شبه معدومة,5–6h,3,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,"No, I am always honest / لا، أنا صريح/صريحة دائماً","No, my grades reflect my state well / لا، درجاتي تعكس حالتي جيداً","No, never / لا، أبداً",Never / أبداً,Never / أبداً,"No, I am always myself / لا، أنا نفسي دائماً","No one, I manage alone / لا أحد، أتدبر أمري وحدي",Often / غالباً,Always / دائماً,Probably yes / على الأرجح نعم,I stay silent / أبقى صامتاً/صامتة,Often / غالباً,2–4h,Rarely / نادراً,I plan well in advance / أخطط مسبقاً جيداً,Rarely / نادراً,Often / غالباً,3–5 days / 3-5 أيام,Much better with time / أفضل بكثير عندما يكون لدي وقت,Never / أبداً,A little anxious / قليلاً قلق,"Yes, very much / نعم، كثيراً",I thought about it / فكرت في ذلك,Hands-on / عملي تطبيقي,Not yet / ليس بعد,"Yes, definitely / نعم، بالتأكيد",ركز جيداً على تعلم اللغه الفرنسيه بأسرع وقت ، لتوفر عليك  الإحراج و المعانات الغير ضرورية.,real,1,0,-0.6561375273867235,-0.14787968300963572
15/05/2026 16:30:30,2,Often / غالباً,Early morning / الصباح الباكر,30–60 minutes / 30-60 دقيقة,Other / أخرى,2–4h,Morning / الصباح,My room / غرفتي,Limited / محدودة,Less than 5h / أقل من 5 ساعات,3,Passion / شغف,I search alone online / أبحث وحدي على الإنترنت,Sometimes / أحياناً,"Yes, exactly / نعم، تماماً",Sometimes / أحياناً,Always / دائماً,Often / غالباً,"No, I am always myself / لا، أنا نفسي دائماً",Family and close friends / العائلة والأصدقاء المقربين,"Yes, always / نعم، دائماً",Always / دائماً,"No, everyone has challenges / لا، للجميع تحدياته",I stay silent / أبقى صامتاً/صامتة,Sometimes / أحياناً,2–4h,Often / غالباً,I meet them but at the last moment / ألتزم بها لكن في اللحظة الأخيرة,Sometimes / أحياناً,Often / غالباً,More than 2 weeks / أكثر من أسبوعين,Much better with time / أفضل بكثير عندما يكون لدي وقت,Never / أبداً,Overwhelmed / مرهق,Somewhat / نوعاً ما,No / لا,Hands-on / عملي تطبيقي,Somewhat / نوعاً ما,"Yes, definitely / نعم، بالتأكيد",استمرّ حتى لو فشلت,real,3,0,2.0247325466089197,2.0592684129442653
